Oct 10, 2018 5:05:05 PM org.apache.karaf.main.Main launch
INFO: Installing and starting initial bundles
Oct 10, 2018 5:05:05 PM org.apache.karaf.main.Main launch
INFO: All initial bundles installed and set to start
Oct 10, 2018 5:05:05 PM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Trying to lock /Users/robert/xipki/xipki-pki-4.0.1-SNAPSHOT/lock
Oct 10, 2018 5:05:05 PM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Lock acquired
Oct 10, 2018 5:05:05 PM org.apache.karaf.main.Main$KarafLockCallback lockAcquired
INFO: Lock acquired. Setting startlevel to 100
2018-10-10T17:05:06,641 | INFO  | activator-1-thread-2 | FeaturesServiceImpl              1073 | 9 - org.apache.karaf.features.core - 4.2.1 | Adding features: aries-blueprint/[4.2.1,4.2.1],bundle/[4.2.1,4.2.1],feature/[4.2.1,4.2.1],shell/[4.2.1,4.2.1],wrap/[2.5.4,2.5.4],netty/[4.1.29.Final,4.1.29.Final],framework/[4.2.1,4.2.1],jaas/[4.2.1,4.2.1],ssh/[4.2.1,4.2.1],log/[4.2.1,4.2.1],config/[4.2.1,4.2.1]
2018-10-10T17:05:06,838 | INFO  | features-3-thread-1 | FeaturesServiceImpl              1073 | 9 - org.apache.karaf.features.core - 4.2.1 | Changes to perform:
2018-10-10T17:05:06,838 | INFO  | features-3-thread-1 | FeaturesServiceImpl              1073 | 9 - org.apache.karaf.features.core - 4.2.1 |   Region: root
2018-10-10T17:05:06,838 | INFO  | features-3-thread-1 | FeaturesServiceImpl              1073 | 9 - org.apache.karaf.features.core - 4.2.1 |     Bundles to install:
2018-10-10T17:05:06,838 | INFO  | features-3-thread-1 | FeaturesServiceImpl              1073 | 9 - org.apache.karaf.features.core - 4.2.1 |       mvn:io.netty/netty-buffer/4.1.29.Final
2018-10-10T17:05:06,839 | INFO  | features-3-thread-1 | FeaturesServiceImpl              1073 | 9 - org.apache.karaf.features.core - 4.2.1 |       mvn:io.netty/netty-codec/4.1.29.Final
2018-10-10T17:05:06,839 | INFO  | features-3-thread-1 | FeaturesServiceImpl              1073 | 9 - org.apache.karaf.features.core - 4.2.1 |       mvn:io.netty/netty-codec-http/4.1.29.Final
2018-10-10T17:05:06,839 | INFO  | features-3-thread-1 | FeaturesServiceImpl              1073 | 9 - org.apache.karaf.features.core - 4.2.1 |       mvn:io.netty/netty-common/4.1.29.Final
2018-10-10T17:05:06,839 | INFO  | features-3-thread-1 | FeaturesServiceImpl              1073 | 9 - org.apache.karaf.features.core - 4.2.1 |       mvn:io.netty/netty-handler/4.1.29.Final
2018-10-10T17:05:06,839 | INFO  | features-3-thread-1 | FeaturesServiceImpl              1073 | 9 - org.apache.karaf.features.core - 4.2.1 |       mvn:io.netty/netty-resolver/4.1.29.Final
2018-10-10T17:05:06,839 | INFO  | features-3-thread-1 | FeaturesServiceImpl              1073 | 9 - org.apache.karaf.features.core - 4.2.1 |       mvn:io.netty/netty-transport/4.1.29.Final
